key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw
,,,,,round of 32,,0,1,,,2026-07-03,00:00,,,,,,Argentina,,,Cabo Verde,,,3,2,,,1,0,,0,0,,1,0,0
,,,,,round of 32,,0,1,,,2026-07-03,00:00,,,,,,Colombia,,,Ghana,,,1,0,,,0,0,,0,0,,1,0,0
,,,,,round of 16,,0,1,,,2026-07-04,00:00,,,,,,Canada,,,Morocco,,,0,3,,,0,0,,0,0,,0,1,0
,,,,,round of 16,,0,1,,,2026-07-04,00:00,,,,,,Paraguay,,,France,,,0,1,,,0,0,,0,0,,0,1,0
,,,,,round of 16,,0,1,,,2026-07-05,00:00,,,,,,Brazil,,,Norway,,,1,2,,,0,0,,0,0,,0,1,0
,,,,,round of 16,,0,1,,,2026-07-05,00:00,,,,,,Mexico,,,England,,,2,3,,,0,0,,0,0,,0,1,0
,,,,,round of 16,,0,1,,,2026-07-06,00:00,,,,,,Portugal,,,Spain,,,0,1,,,0,0,,0,0,,0,1,0
,,,,,round of 16,,0,1,,,2026-07-06,00:00,,,,,,United States,,,Belgium,,,1,4,,,0,0,,0,0,,0,1,0
,,,,,round of 16,,0,1,,,2026-07-07,00:00,,,,,,Argentina,,,Egypt,,,3,2,,,0,0,,0,0,,1,0,0
,,,,,round of 16,,0,1,,,2026-07-07,00:00,,,,,,Switzerland,,,Colombia,,,0,0,,,1,1,,4,3,,1,0,0
,,,,,quarter-finals,,0,1,,,2026-07-09,00:00,,,,,,France,,,Morocco,,,2,0,,,0,0,,0,0,,1,0,0
,,,,,quarter-finals,,0,1,,,2026-07-10,00:00,,,,,,Spain,,,Belgium,,,2,1,,,0,0,,0,0,,1,0,0
,,,,,quarter-finals,,0,1,,,2026-07-11,00:00,,,,,,Norway,,,England,,,1,2,,,1,0,,0,0,,0,1,0
,,,,,quarter-finals,,0,1,,,2026-07-11,00:00,,,,,,Argentina,,,Switzerland,,,3,1,,,1,0,,0,0,,1,0,0
,,,,,semi-finals,,0,1,,,2026-07-14,00:00,,,,,,France,,,Spain,,,0,2,,,1,0,,0,0,,0,1,0
,,,,,semi-finals,,0,1,,,2026-07-15,00:00,,,,,,England,,,Argentina,,,1,2,,,1,0,,0,0,,0,1,0
